order_id,user_id,date,region,city,platform,traffic_source,category,product_name,price,quantity,discount,payment_method,delivery_days,is_returned,rating,revenue
50053,1706,2024-02-22,Krasnoyarsk Krai,Krasnoyarsk,Mobile,Email,auto,Car Vacuum,58.36,1,3,Credit,3,0,4.6,58.36
50054,1203,2024-02-23,Nizhny Novgorod Oblast,Nizhny Novgorod,Web,Marketplace,electronics,Wireless Headphones,108.83,1,5,Credit,3,0,4.4,108.83
50055,1706,2024-02-24,Krasnodar Krai,Krasnodar,Mobile,Email,beauty,Perfume,89.25,1,15,SBP,2,0,4.6,89.25
50056,1691,2024-02-25,Kaliningrad Oblast,Kaliningrad,App,Organic Search,sports,Running Shoes,125.56,3,15,Card,3,0,4.6,376.68
50057,1094,2024-02-26,Udmurtia,Izhevsk,Web,Email,clothes,Adidas Sneakers,108.07,3,3,Credit,2,0,4.5,324.21
50058,1323,2024-02-27,Bashkortostan,Ufa,Web,Email,sports,Running Shoes,107.45,1,20,SBP,3,0,4.4,107.45
50059,1779,2024-02-28,Perm Krai,Perm,Mobile,Direct,electronics,Smart Watch,164.87,1,3,Card,2,0,4.9,164.87
50060,1015,2024-02-29,Sverdlovsk Oblast,Yekaterinburg,Mobile,Organic Search,home,Vacuum Cleaner,257.39,1,10,Credit,3,0,4.3,257.39
50061,1484,2024-03-01,Tatarstan,Kazan,App,Direct,home,Coffee Machine,172.65,3,5,Cash,2,0,4.4,517.95
50062,1520,2024-03-02,Omsk Oblast,Omsk,App,Paid Search,beauty,Makeup Palette,41.86,2,5,SBP,4,0,4.3,83.72
50063,1467,2024-03-03,Tomsk Oblast,Tomsk,Web,Paid Search,electronics,Wireless Headphones,110.69,1,10,SBP,3,0,4.9,110.69
50064,1812,2024-03-04,Kemerovo Oblast,Kemerovo,Web,Email,home,Vacuum Cleaner,220.45,1,7,Cash,4,0,4.4,220.45
50065,1671,2024-03-05,Chelyabinsk Oblast,Chelyabinsk,App,Paid Search,auto,Phone Holder,19.42,2,0,Cash,3,0,4.6,38.84
50066,1778,2024-03-06,Tatarstan,Kazan,App,Marketplace,beauty,Hair Dryer,72.48,1,12,Credit,1,0,4.5,72.48
50067,1455,2024-03-07,Kemerovo Oblast,Kemerovo,App,Marketplace,beauty,Face Serum,40.81,2,7,Cash,5,0,4.6,81.62
50068,1081,2024-03-08,Kaliningrad Oblast,Kaliningrad,App,Direct,home,Coffee Machine,154.97,1,10,Credit,2,0,4.5,154.97
50069,1560,2024-03-09,Krasnoyarsk Krai,Krasnoyarsk,Mobile,Email,clothes,Winter Hoodie,57.55,1,12,Cash,5,0,4.2,57.55
50070,1243,2024-03-10,Tatarstan,Kazan,Mobile,Social,sports,Running Shoes,130.99,1,15,Credit,3,0,4.9,130.99
50071,1621,2024-03-11,Khabarovsk Krai,Khabarovsk,Mobile,Social,sports,Running Shoes,99.8,1,0,Credit,5,0,4.1,99.8
50072,1141,2024-03-12,Tomsk Oblast,Tomsk,Web,Email,auto,Dash Camera,95.99,1,10,Card,3,0,4.3,95.99
50073,1806,2024-03-13,Altai Krai,Barnaul,App,Organic Search,clothes,Basic T-Shirt,19.08,1,20,SBP,3,0,4.9,19.08
50074,1078,2024-03-14,Irkutsk Oblast,Irkutsk,Web,Social,beauty,Hair Dryer,83.21,3,5,Cash,5,0,4.1,249.63
50075,1599,2024-03-15,Udmurtia,Izhevsk,Mobile,Paid Search,auto,Motor Oil,35.93,1,10,Credit,2,0,4.7,35.93
50076,1476,2024-03-16,Tomsk Oblast,Tomsk,App,Email,clothes,Adidas Sneakers,112.92,3,5,SBP,3,0,4.4,338.76
50077,1761,2024-03-17,Saratov Oblast,Saratov,App,Direct,sports,Yoga Mat,29.33,1,18,Credit,4,0,4.7,29.33
50078,1242,2024-03-18,Khabarovsk Krai,Khabarovsk,Mobile,Marketplace,kids,Kids Backpack,31.64,1,20,SBP,5,0,4.4,31.64
50079,1658,2024-03-19,Krasnodar Krai,Krasnodar,Web,Marketplace,auto,Dash Camera,92.21,1,0,Card,3,0,4.5,92.21
50080,1808,2024-03-20,Saint Petersburg,Saint Petersburg,Mobile,Paid Search,kids,Kids Backpack,35.88,1,10,Card,2,0,4.5,35.88
50081,1332,2024-03-21,Samara Oblast,Samara,Mobile,Paid Search,books,Business Book,26.3,2,0,Card,4,0,4.6,52.6
50082,1630,2024-03-22,Rostov Oblast,Rostov-on-Don,Web,Paid Search,home,Vacuum Cleaner,174.93,1,5,Card,2,0,4.5,174.93
50083,1083,2024-03-23,Yaroslavl Oblast,Yaroslavl,App,Direct,kids,Board Game,24.9,1,12,SBP,1,1,3.9,24.9
50084,1813,2024-03-24,Krasnoyarsk Krai,Krasnoyarsk,App,Marketplace,electronics,Smartphone Samsung,449.15,1,10,Card,4,0,4.8,449.15
50085,1157,2024-03-25,Kemerovo Oblast,Kemerovo,App,Email,clothes,Zara Jacket,114.98,1,12,Credit,3,0,4.8,114.98
50086,1421,2024-03-26,Tatarstan,Kazan,App,Direct,electronics,Laptop Lenovo IdeaPad,831.87,1,0,SBP,4,0,4.4,831.87
50087,1111,2024-03-27,Kemerovo Oblast,Kemerovo,Mobile,Marketplace,clothes,Winter Hoodie,47.94,1,0,SBP,3,0,4.6,47.94
50088,1624,2024-03-28,Kemerovo Oblast,Kemerovo,Web,Paid Search,beauty,Face Serum,30.94,1,15,SBP,3,0,4.4,30.94
50089,1765,2024-03-29,Moscow,Moscow,Mobile,Social,home,Desk Lamp,40.77,1,7,Cash,2,1,4.1,40.77
50090,1691,2024-03-30,Tyumen Oblast,Tyumen,App,Social,sports,Running Shoes,139.15,1,0,Card,3,0,4.7,139.15
50091,1540,2024-03-31,Samara Oblast,Samara,App,Organic Search,sports,Dumbbells Set,82.8,1,5,SBP,4,0,4.7,82.8
50092,1133,2024-04-01,Saint Petersburg,Saint Petersburg,App,Social,home,Coffee Machine,207.5,2,5,Credit,3,0,4.8,415.0
50093,1118,2024-04-02,Primorsky Krai,Vladivostok,App,Marketplace,clothes,Adidas Sneakers,180.6,2,10,Credit,3,0,4.5,361.2
50094,1081,2024-04-03,Moscow,Moscow,Web,Paid Search,auto,Phone Holder,26.3,1,7,Credit,2,0,4.8,26.3
50095,1661,2024-04-04,Kemerovo Oblast,Kemerovo,App,Email,home,Desk Lamp,31.85,1,3,Cash,4,0,4.3,31.85
50096,1594,2024-04-05,Novosibirsk Oblast,Novosibirsk,App,Paid Search,electronics,Wireless Headphones,84.0,1,20,Credit,2,0,4.5,84.0
50097,1076,2024-04-06,Volgograd Oblast,Volgograd,Mobile,Marketplace,auto,Dash Camera,83.27,1,10,SBP,3,0,4.4,83.27
50098,1811,2024-04-07,Omsk Oblast,Omsk,App,Social,beauty,Face Serum,29.15,2,10,Card,2,0,4.6,58.3
50099,1662,2024-04-08,Omsk Oblast,Omsk,App,Organic Search,auto,Phone Holder,20.41,1,15,Cash,5,1,3.1,20.41
50100,1809,2024-04-09,Saint Petersburg,Saint Petersburg,Mobile,Paid Search,home,Bed Linen Set,66.32,1,5,SBP,1,0,4.8,66.32
50101,1318,2024-04-10,Tatarstan,Kazan,App,Marketplace,sports,Dumbbells Set,102.1,1,0,Credit,4,0,4.7,102.1
50102,1096,2024-04-11,Krasnodar Krai,Sochi,App,Organic Search,clothes,Basic T-Shirt,30.61,1,12,Credit,6,0,4.0,30.61
50103,1520,2024-04-12,Irkutsk Oblast,Irkutsk,App,Email,sports,Running Shoes,109.15,1,25,Card,4,0,4.7,109.15
50104,1693,2024-04-13,Volgograd Oblast,Volgograd,Web,Email,sports,Yoga Mat,27.78,2,15,Cash,4,0,4.7,55.56
50105,1473,2024-04-14,Omsk Oblast,Omsk,App,Email,clothes,Winter Hoodie,54.72,1,15,SBP,2,0,5.0,54.72
50106,1529,2024-04-15,Udmurtia,Izhevsk,Mobile,Email,sports,Dumbbells Set,88.47,1,10,Card,4,1,3.6,88.47
50107,1055,2024-04-16,Nizhny Novgorod Oblast,Nizhny Novgorod,App,Paid Search,electronics,Smartphone Samsung,367.83,1,3,Credit,2,1,4.0,367.83
50108,1850,2024-04-17,Irkutsk Oblast,Irkutsk,Mobile,Social,sports,Dumbbells Set,74.61,1,12,Credit,4,1,3.9,74.61
50109,1244,2024-04-18,Kaliningrad Oblast,Kaliningrad,App,Direct,books,Notebook Set,31.35,1,20,SBP,3,0,4.5,31.35
50110,1148,2024-04-19,Krasnodar Krai,Krasnodar,Web,Paid Search,electronics,Smart Watch,161.92,3,10,SBP,4,0,4.5,485.76
50111,1520,2024-04-20,Voronezh Oblast,Voronezh,App,Organic Search,electronics,Wireless Headphones,79.4,1,5,Card,4,0,4.4,79.4
50112,1341,2024-04-21,Tyumen Oblast,Tyumen,Web,Social,books,Python Book,63.88,1,15,Cash,2,0,4.4,63.88
50113,1469,2024-04-22,Saint Petersburg,Saint Petersburg,Web,Email,sports,Running Shoes,151.71,4,7,Card,2,0,4.8,606.84
50114,1366,2024-04-23,Nizhny Novgorod Oblast,Nizhny Novgorod,Mobile,Social,home,Vacuum Cleaner,246.89,4,10,Card,2,0,5.0,987.56
50115,1377,2024-04-24,Kemerovo Oblast,Kemerovo,App,Social,clothes,Adidas Sneakers,105.39,1,20,SBP,3,0,4.8,105.39
50116,1735,2024-04-25,Orenburg Oblast,Orenburg,App,Paid Search,electronics,Smart Watch,180.24,1,0,Credit,3,0,4.8,180.24
50117,1653,2024-04-26,Rostov Oblast,Rostov-on-Don,App,Marketplace,clothes,Adidas Sneakers,134.28,4,5,Credit,5,1,3.6,537.12
50118,1581,2024-04-27,Bashkortostan,Ufa,Mobile,Email,beauty,Perfume,117.35,1,0,Card,3,0,5.0,117.35
50119,1027,2024-04-28,Krasnoyarsk Krai,Krasnoyarsk,Mobile,Social,electronics,Smart Watch,157.81,1,5,Cash,4,0,4.7,157.81
50120,1076,2024-04-29,Chelyabinsk Oblast,Chelyabinsk,App,Social,beauty,Face Serum,39.0,1,12,Credit,4,1,3.8,39.0
50121,1162,2024-04-30,Rostov Oblast,Rostov-on-Don,Mobile,Marketplace,auto,Motor Oil,48.27,2,12,Cash,2,0,4.6,96.54
50122,1133,2024-05-01,Orenburg Oblast,Orenburg,App,Email,sports,Yoga Mat,35.66,1,5,Card,2,0,4.5,35.66
50123,1849,2024-05-02,Tatarstan,Kazan,Web,Organic Search,home,Bed Linen Set,68.97,4,10,Cash,1,0,4.8,275.88
50124,1532,2024-05-03,Udmurtia,Izhevsk,App,Direct,auto,Motor Oil,43.14,1,0,SBP,4,0,4.5,43.14
50125,1176,2024-05-04,Kemerovo Oblast,Kemerovo,Web,Paid Search,electronics,Smartphone Samsung,357.93,1,0,SBP,3,0,4.4,357.93
50126,1032,2024-05-05,Tomsk Oblast,Tomsk,Web,Direct,auto,Car Vacuum,44.16,2,5,Credit,4,0,4.8,88.32
50127,1496,2024-05-06,Altai Krai,Barnaul,Web,Social,clothes,Adidas Sneakers,106.21,2,5,Credit,4,0,4.6,212.42
50128,1248,2024-05-07,Sverdlovsk Oblast,Yekaterinburg,App,Marketplace,sports,Yoga Mat,33.41,1,7,Credit,3,1,3.6,33.41
50129,1592,2024-05-08,Krasnodar Krai,Krasnodar,App,Direct,home,Vacuum Cleaner,197.8,1,3,SBP,3,0,4.6,197.8
50130,1362,2024-05-09,Sverdlovsk Oblast,Yekaterinburg,Mobile,Organic Search,kids,Toy Car,25.45,1,20,Card,1,0,4.6,25.45
50131,1584,2024-05-10,Saint Petersburg,Saint Petersburg,App,Direct,home,Bed Linen Set,75.02,3,12,Cash,2,0,4.4,225.06
50132,1814,2024-05-11,Bashkortostan,Ufa,App,Organic Search,beauty,Face Serum,41.19,4,12,SBP,5,0,4.8,164.76
50133,1144,2024-05-12,Primorsky Krai,Vladivostok,App,Paid Search,auto,Phone Holder,28.76,2,15,SBP,4,0,4.5,57.52
50134,1836,2024-05-13,Stavropol Krai,Stavropol,App,Paid Search,clothes,Zara Jacket,135.21,1,15,Card,2,0,4.6,135.21
50135,1795,2024-05-14,Bashkortostan,Ufa,Mobile,Paid Search,sports,Bicycle Helmet,46.89,2,10,Cash,2,0,4.6,93.78
50136,1196,2024-05-15,Yaroslavl Oblast,Yaroslavl,App,Marketplace,electronics,Smart Watch,170.68,1,15,Card,3,0,4.9,170.68
50137,1213,2024-05-16,Omsk Oblast,Omsk,App,Email,home,Vacuum Cleaner,187.56,3,18,SBP,3,0,4.6,562.68
50138,1271,2024-05-17,Volgograd Oblast,Volgograd,App,Email,beauty,Makeup Palette,41.94,1,12,Credit,4,0,4.3,41.94
50139,1574,2024-05-18,Sverdlovsk Oblast,Yekaterinburg,Web,Email,auto,Dash Camera,118.93,2,12,SBP,2,0,4.4,237.86
50140,1453,2024-05-19,Nizhny Novgorod Oblast,Nizhny Novgorod,Mobile,Organic Search,electronics,Smart Watch,180.61,2,5,SBP,2,0,5.0,361.22
50141,1544,2024-05-20,Yaroslavl Oblast,Yaroslavl,Web,Social,beauty,Perfume,120.88,1,10,Cash,2,0,4.6,120.88
50142,1488,2024-05-21,Saratov Oblast,Saratov,App,Marketplace,home,Coffee Machine,143.65,1,20,Credit,4,0,4.5,143.65
50143,1180,2024-05-22,Saratov Oblast,Saratov,App,Marketplace,home,Desk Lamp,32.29,2,3,Credit,3,1,3.5,64.58
50144,1618,2024-05-23,Altai Krai,Barnaul,Mobile,Organic Search,books,Python Book,39.5,2,18,Card,3,0,4.7,79.0
50145,1167,2024-05-24,Stavropol Krai,Stavropol,App,Marketplace,auto,Dash Camera,91.61,3,18,Credit,2,0,4.7,274.83
50146,1528,2024-05-25,Saratov Oblast,Saratov,App,Social,home,Vacuum Cleaner,220.17,2,3,SBP,4,0,4.2,440.34
50147,1597,2024-05-26,Tatarstan,Kazan,App,Email,sports,Bicycle Helmet,54.13,1,5,Card,2,0,4.7,54.13
50148,1655,2024-05-27,Samara Oblast,Samara,App,Direct,clothes,Zara Jacket,129.37,2,20,SBP,4,0,4.3,258.74
50149,1681,2024-05-28,Bashkortostan,Ufa,Mobile,Organic Search,clothes,Zara Jacket,109.22,1,7,Cash,2,0,4.6,109.22
50150,1154,2024-05-29,Udmurtia,Izhevsk,Web,Paid Search,home,Coffee Machine,155.62,1,0,Cash,2,0,4.6,155.62
50151,1578,2024-05-30,Perm Krai,Perm,App,Email,books,Notebook Set,18.97,3,7,Card,4,0,4.6,56.91
50152,1071,2024-05-31,Primorsky Krai,Vladivostok,Web,Organic Search,beauty,Hair Dryer,95.07,1,7,Credit,4,1,3.5,95.07
50153,1385,2024-06-01,Saint Petersburg,Saint Petersburg,Web,Marketplace,home,Vacuum Cleaner,284.34,1,25,Card,1,0,4.9,284.34
50154,1306,2024-06-02,Volgograd Oblast,Volgograd,Web,Social,auto,Phone Holder,17.61,1,0,Credit,5,0,4.3,17.61
50155,1430,2024-06-03,Volgograd Oblast,Volgograd,Web,Email,clothes,Winter Hoodie,54.4,1,20,Card,3,0,4.5,54.4
50156,1795,2024-06-04,Novosibirsk Oblast,Novosibirsk,Web,Organic Search,home,Coffee Machine,166.02,1,15,Card,3,0,4.7,166.02
50157,1534,2024-06-05,Krasnodar Krai,Sochi,App,Marketplace,beauty,Hair Dryer,82.58,2,15,Cash,3,0,5.0,165.16
50158,1688,2024-06-06,Voronezh Oblast,Voronezh,Web,Paid Search,home,Coffee Machine,171.46,1,7,Credit,1,0,4.7,171.46
50159,1060,2024-06-07,Orenburg Oblast,Orenburg,App,Social,beauty,Makeup Palette,40.05,1,15,Credit,3,0,5.0,40.05
50160,1275,2024-06-08,Voronezh Oblast,Voronezh,App,Social,beauty,Perfume,88.41,3,15,Credit,4,0,4.7,265.23
50161,1016,2024-06-09,Volgograd Oblast,Volgograd,Mobile,Email,clothes,Basic T-Shirt,27.7,2,3,Cash,4,0,5.0,55.4
50162,1478,2024-06-10,Stavropol Krai,Stavropol,Web,Organic Search,home,Coffee Machine,171.7,2,7,SBP,3,0,4.8,343.4
50163,1150,2024-06-11,Nizhny Novgorod Oblast,Nizhny Novgorod,App,Marketplace,home,Bed Linen Set,57.23,3,5,Card,2,0,4.8,171.69
50164,1842,2024-06-12,Samara Oblast,Samara,App,Email,beauty,Makeup Palette,42.27,2,10,Credit,2,0,4.4,84.54
50165,1061,2024-06-13,Yaroslavl Oblast,Yaroslavl,App,Marketplace,clothes,Winter Hoodie,70.16,2,7,Card,3,0,4.5,140.32
50166,1654,2024-06-14,Tomsk Oblast,Tomsk,Web,Organic Search,books,Python Book,32.18,1,0,Credit,4,1,4.0,32.18
50167,1826,2024-06-15,Volgograd Oblast,Volgograd,Web,Organic Search,beauty,Face Serum,28.84,1,25,Cash,5,0,4.4,28.84
50168,1714,2024-06-16,Krasnodar Krai,Krasnodar,App,Paid Search,auto,Phone Holder,22.9,1,7,Cash,2,0,4.8,22.9
50169,1512,2024-06-17,Nizhny Novgorod Oblast,Nizhny Novgorod,Web,Marketplace,clothes,Basic T-Shirt,28.73,1,10,Credit,3,0,4.7,28.73
50170,1288,2024-06-18,Saratov Oblast,Saratov,Mobile,Direct,kids,Lego Set,73.39,2,10,Card,3,0,5.0,146.78
50171,1399,2024-06-19,Rostov Oblast,Rostov-on-Don,App,Email,auto,Dash Camera,97.27,2,7,SBP,3,0,4.7,194.54
50172,1788,2024-06-20,Tyumen Oblast,Tyumen,Web,Marketplace,kids,Kids Backpack,42.49,4,0,Credit,1,0,4.8,169.96
50173,1634,2024-06-21,Udmurtia,Izhevsk,Web,Organic Search,sports,Running Shoes,108.97,3,7,SBP,3,1,3.6,326.91
50174,1456,2024-06-22,Orenburg Oblast,Orenburg,App,Email,home,Coffee Machine,138.17,1,5,SBP,3,0,4.7,138.17
50175,1333,2024-06-23,Udmurtia,Izhevsk,App,Organic Search,home,Vacuum Cleaner,190.61,1,0,Credit,3,0,4.7,190.61
50176,1309,2024-06-24,Moscow,Moscow,Web,Marketplace,home,Bed Linen Set,82.02,4,10,SBP,2,0,4.8,328.08
50177,1469,2024-06-25,Chelyabinsk Oblast,Chelyabinsk,App,Organic Search,electronics,Smartphone Samsung,374.2,1,20,Card,3,0,4.4,374.2
50178,1308,2024-06-26,Krasnodar Krai,Sochi,App,Paid Search,home,Bed Linen Set,61.36,1,7,SBP,4,0,4.2,61.36
50179,1386,2024-06-27,Krasnoyarsk Krai,Krasnoyarsk,App,Email,auto,Phone Holder,26.41,1,12,SBP,3,0,4.7,26.41
50180,1215,2024-06-28,Tomsk Oblast,Tomsk,App,Paid Search,kids,Board Game,26.34,1,15,Credit,5,0,4.4,26.34
50181,1460,2024-06-29,Orenburg Oblast,Orenburg,Web,Organic Search,home,Coffee Machine,155.53,1,3,Credit,4,0,4.7,155.53
50182,1171,2024-06-30,Khabarovsk Krai,Khabarovsk,Web,Social,sports,Dumbbells Set,96.64,1,20,Card,5,0,4.5,96.64
50183,1590,2024-07-01,Khabarovsk Krai,Khabarovsk,Mobile,Social,auto,Motor Oil,51.25,1,3,Cash,3,0,4.6,51.25
50184,1748,2024-07-02,Omsk Oblast,Omsk,Web,Paid Search,sports,Dumbbells Set,84.91,4,7,Cash,3,1,4.4,339.64
50185,1118,2024-07-03,Bashkortostan,Ufa,Web,Paid Search,home,Bed Linen Set,56.36,1,12,Card,3,0,4.8,56.36
50186,1817,2024-07-04,Kemerovo Oblast,Kemerovo,Web,Email,sports,Bicycle Helmet,56.03,1,10,Credit,3,0,4.9,56.03
50187,1829,2024-07-05,Saratov Oblast,Saratov,App,Marketplace,home,Bed Linen Set,56.89,1,5,Card,3,0,4.5,56.89
50188,1602,2024-07-06,Khabarovsk Krai,Khabarovsk,App,Email,electronics,Smartphone Samsung,443.94,2,10,Card,4,0,4.3,887.88
50189,1188,2024-07-07,Bashkortostan,Ufa,Web,Marketplace,sports,Dumbbells Set,90.16,1,0,SBP,3,0,4.7,90.16
50190,1171,2024-07-08,Kaliningrad Oblast,Kaliningrad,App,Email,electronics,Smart Watch,180.02,1,10,Credit,5,1,3.4,180.02
50191,1507,2024-07-09,Nizhny Novgorod Oblast,Nizhny Novgorod,Web,Paid Search,electronics,Wireless Headphones,77.64,1,0,Credit,3,0,4.1,77.64
